drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Belgija,1,Bertels,Sprejemalka,20,21/02/2006,185cm,4,0.33,3,33.33%,0.25,0,0.00%,0.00,1,8.33%,0.08
Belgija,2,Van Sas,Podajalka,29,01/08/1997,188cm,23,1.92,8,25.81%,0.67,10,18.87%,0.83,5,4.63%,0.42
Belgija,4,Lemmens,Srednja blokerka,31,12/03/1995,192cm,67,5.58,41,40.20%,3.42,21,16.03%,1.75,5,3.21%,0.42
Belgija,5,Radovic,Sprejemalka,19,02/04/2007,184cm,66,8.25,58,31.52%,7.25,5,20.00%,0.62,3,4.92%,0.38
Belgija,7,Koulberg,Srednja blokerka,21,17/08/2004,188cm,18,1.50,13,28.26%,1.08,4,9.30%,0.33,1,2.27%,0.08
Belgija,8,Nagels,Podajalka,29,03/06/1997,182cm,9,0.75,1,25.00%,0.08,4,18.18%,0.33,4,5.19%,0.33
Belgija,9,Demeyer,Sprejemalka,25,21/03/2001,175cm,43,3.58,38,28.57%,3.17,1,3.03%,0.08,4,3.88%,0.33
Belgija,10,Martin,Korektorica,23,04/09/2002,189cm,233,19.42,214,39.78%,17.83,12,17.65%,1.00,7,4.55%,0.58
Belgija,16,Debouck,Libero,21,09/06/2005,162cm,1,0.08,1,100%,0.08,0,-,-,0,0.00%,0.00
Belgija,18,Rampelberg,Libero,26,05/06/2000,165cm,0,0.00,0,-,-,0,-,-,0,-,-
Belgija,20,Fransen,Srednja blokerka,24,22/01/2002,184cm,86,7.17,52,47.27%,4.33,30,21.13%,2.50,4,5.00%,0.33
Belgija,21,Deleu,Sprejemalka,18,13/12/2007,185cm,53,4.42,44,33.85%,3.67,3,16.67%,0.25,6,9.38%,0.50
Belgija,22,Verhelst,Korektorica,18,15/11/2007,186cm,3,0.38,2,28.57%,0.25,1,100%,0.12,0,-,-
Belgija,23,Luyten,Sprejemalka,20,04/05/2006,188cm,7,1.75,6,35.29%,1.50,0,0.00%,0.00,1,7.69%,0.25
Brazilija,2,Diana,Srednja blokerka,27,22/02/1999,194cm,108,7.20,57,52.29%,3.80,39,23.08%,2.60,12,5.22%,0.80
Brazilija,3,Macris,Podajalka,37,03/03/1989,178cm,9,0.60,5,41.67%,0.33,1,1.96%,0.07,3,3.57%,0.20
Brazilija,4,Lorena,Srednja blokerka,27,21/07/1999,190cm,14,0.93,10,47.62%,0.67,4,16.67%,0.27,0,0.00%,0.00
Brazilija,5,Natinha,Libero,29,10/04/1997,162cm,0,0.00,0,-,-,0,-,-,0,-,-
Brazilija,7,Rosamaria,Korektorica,32,09/04/1994,185cm,111,7.40,101,38.40%,6.73,9,13.24%,0.60,1,0.88%,0.07
Brazilija,9,Roberta,Podajalka,36,28/04/1990,185cm,19,1.27,6,40.00%,0.40,6,15.38%,0.40,7,5.47%,0.47
Brazilija,11,Luzia,Srednja blokerka,22,17/03/2004,199cm,51,3.40,24,46.15%,1.60,22,25.88%,1.47,5,7.94%,0.33
Brazilija,14,Ana Cristina,Sprejemalka,22,07/04/2004,192cm,256,17.07,218,41.05%,14.53,21,23.33%,1.40,17,9.09%,1.13
Brazilija,15,Helena,Sprejemalka,21,11/02/2005,199cm,48,3.20,46,35.94%,3.07,1,5.88%,0.07,1,2.44%,0.07
Brazilija,16,Kisy,Korektorica,26,28/01/2000,191cm,36,2.40,30,40.00%,2.00,4,28.57%,0.27,2,6.06%,0.13
Brazilija,17,Bergmann,Sprejemalka,25,21/02/2001,191cm,235,15.67,204,39.31%,13.60,19,24.36%,1.27,12,4.96%,0.80
Brazilija,20,Maiara,Sprejemalka,30,03/01/1996,188cm,2,0.29,2,28.57%,0.29,0,0.00%,0.00,0,0.00%,0.00
